unit,n,ar1,bimodality_coefficient,travel_ratio,span_over_series_sd,lam_trend,window_attractor_counts,window_positions
mood_relaxed,1476,0.26452642637788903,0.3671276962988497,0.11005296950546886,0.24500195966254762,0.3591948556319612,1;1;1;1;1;1,4.305;4.259;4.208;4.204;4.388;4.369
mood_down,1474,0.4364480335190816,0.3142025004222499,0.4938070724309094,1.3126163710521335,0.9035885812681251,1;1;1;1;1;1,0.332;0.275;-0.349;0.491;0.627;0.628
mood_irritat,1473,0.25843822315671083,0.5457537673144266,0.32181003745095044,0.7223359398849565,0.26381775990441947,1;1;1;1;1;1,1.885;2.243;2.730;2.613;2.636;2.717
mood_satisfi,1473,0.35040950546165456,0.4468949438742279,0.09214210195941488,0.20284225156569682,-0.6005587525258167,1;1;1;1;1;1,4.125;4.325;4.218;4.184;4.220;4.129
mood_lonely,1474,0.32425883924075866,0.0980371879914901,1.4901969793041518,2.001457838843661,-0.7468012402084518,1;1;1;1;1;1,-0.471;-0.486;-0.486;0.420;0.477;0.497
mood_anxious,1473,0.22302390257891172,0.6585369413987043,0.025521206357300298,0.03613432015052751,0.5714775423051749,1;1;1;1;1;1,-0.495;-0.501;-0.506;-0.504;-0.497;-0.497
mood_enthus,1473,0.33570538784583215,0.3655805273941912,0.08177256771297203,0.23185160914142744,-0.7078386583526715,1;1;1;1;1;1,3.906;3.996;3.796;3.818;3.822;3.824
mood_cheerf,1473,0.3454465784112335,0.4328010648379633,0.17201993361333565,0.4338460708414791,-0.010946211897211044,1;1;1;1;1;1,3.924;4.230;4.259;4.168;4.290;4.161
mood_guilty,1473,0.25870246674025865,0.12517045322467843,1.3188705844635116,2.0926977327084586,-0.12442697525032798,1;1;1;1;1;1,-0.451;-0.492;-0.422;-0.004;0.479;0.479
mood_strong,1473,0.3549039342108965,0.4356738587111149,0.15292650882358777,0.4678075858851056,-0.6891795919715594,1;1;1;1;1;1,3.898;3.936;3.682;4.015;4.087;4.083
_composite,1476,0.15877870854763762,0.09668714014587326,0.18129527231180492,0.3409312813062121,-0.28518320031613215,1;1;1;1;1;1,-0.019;-0.031;-0.032;-0.017;0.068;0.094
