T,case,bw_mult,share_2plus,share_1,mean_count,share_with_barrier,barrier_ratio_med,log10_dwell_med,true_log10_dwell_med,local_sd_over_series_sd
300,monostable,1.0,0.1,0.9,1.1,0.125,0.09592156981782829,1.8645022051372742,0.9031672017635761,0.8599955917418455
300,monostable,1.4,0.05,0.95,1.05,0.05,0.020386928161754046,2.3626483592004606,0.9149098943418549,1.0224049068467043
300,"polarized (bimodal, monostable)",0.7,0.05,0.95,1.05,0.05,0.10146555163980076,1.3559943211239114,0.958607314841775,0.6632929768959723
300,"polarized (bimodal, monostable)",1.0,0.0,1.0,1.0,0.0,,,0.9330532103693868,0.7611696560198171
300,"polarized (bimodal, monostable)",1.4,0.0,1.0,1.0,0.0,,,0.8973376581028523,0.7970945515600055
1476,bistable 2SD,0.7,0.65,0.35,1.775,0.625,0.0441598302537635,1.5234892906053104,0.8217585353051738,0.8417919266644069
1476,bistable 2SD,1.0,0.425,0.575,1.45,0.425,0.01070844729091315,1.8163447367683807,0.7934246683812923,1.2338182302765053
1476,bistable 2SD,1.4,0.2,0.8,1.2,0.2,0.007990054708076816,2.080223289327118,0.8083057290028219,1.3943424812232215
1476,bistable 3SD,0.7,0.775,0.225,1.9,0.75,0.04219702964535342,1.5642551011292833,0.8437784129716398,0.846825039348358
1476,bistable 3SD,1.0,0.7,0.3,1.725,0.675,0.03218450340959078,1.7774569171212071,0.8552191371178693,1.0678411680435729
1476,bistable 3SD,1.4,0.4,0.6,1.4,0.4,0.01644707546949801,2.0044832439268676,0.8616008585277132,1.1474888968823067
1476,bistable 4SD,0.7,1.0,0.0,2.025,0.975,0.1658117135697749,1.5259052932061463,0.9285514539545326,0.7010661555505457
1476,bistable 4SD,1.0,0.875,0.125,1.875,0.875,0.13519570240566628,1.671963323195708,0.9323009068599712,0.772130917532543
1476,bistable 4SD,1.4,0.925,0.075,1.925,0.925,0.04944065860743845,1.827450000581368,0.919891446207435,0.9859201700387329
1476,bistable 6SD,0.7,1.0,0.0,2.0,1.0,0.9461691041310785,1.6239631983618104,1.2320847610896508,0.40667619158315554
1476,bistable 6SD,1.0,1.0,0.0,2.0,1.0,0.7407858071354161,1.6300746858128452,1.1936667071077394,0.4624986357001951
1476,bistable 6SD,1.4,1.0,0.0,2.0,1.0,0.6261263290969623,1.6578471663179868,1.2500713114174984,0.5377843092496221
1476,"deep well 6SD (k=1, new)",0.7,0.975,0.025,2.0,0.975,2.1755092739482857,1.7740625993091306,1.8915374576725645,0.2358972390251931
1476,"deep well 6SD (k=1, new)",1.0,0.9,0.1,1.9,0.9,1.8153955074374593,1.7774858419596693,1.5041008504613713,0.30762319799612803
1476,"deep well 6SD (k=1, new)",1.4,0.8,0.2,1.8,0.8,1.504298790510225,1.80756765000568,1.659780419395959,0.392780182434748
1476,monostable,0.7,0.375,0.625,1.375,0.425,0.03164966126507232,1.8132279371552829,0.9815656366505597,0.7561509630440614
1476,monostable,1.0,0.075,0.925,1.075,0.075,0.03661592781211201,1.861394922084267,0.9489782694469677,0.7818191591422172
1476,monostable,1.4,0.025,0.975,1.025,0.025,0.001652580007390557,2.684975412592065,0.9412148589965595,0.9848559797796274
1476,"polarized (bimodal, monostable)",0.7,0.0,1.0,1.0,0.0,,,0.936090247094869,0.696887548948919
1476,"polarized (bimodal, monostable)",1.0,0.0,1.0,1.0,0.0,,,0.9411996528733492,0.7582636287780448
1476,"polarized (bimodal, monostable)",1.4,0.0,1.0,1.0,0.0,,,0.9542425094393249,0.822251322271758
