mood_relaxed,mood_down,mood_irritat,mood_satisfi,mood_lonely,mood_anxious,mood_enthus,mood_cheerf,mood_guilty,mood_strong,_composite
-1.0509721243478265,-1.1343386810606337,-0.9057979856338978,-1.350815993557617,-0.9629747656314491,0.3346196225012902,-1.2304316719746122,-1.189687723714654,-1.0424719277402494,-1.0835644590674154,-1.1861125061489983
-1.0509721243478265,-1.1343386810606337,-0.9057979856338978,-1.350815993557617,-0.9629747656314491,0.3346196225012902,-1.2304316719746122,-1.189687723714654,-1.0424719277402494,-1.0835644590674154,-1.1861125061489983
-1.0509721243478265,-1.1343386810606337,-0.9057979856338978,-1.350815993557617,-0.9629747656314491,0.3346196225012902,-1.2304316719746122,-1.189687723714654,-1.0424719277402494,-1.0835644590674154,-1.1861125061489983
-1.0509721243478265,-1.1343386810606337,-0.9057979856338978,-1.350815993557617,-0.9629747656314491,0.3346196225012902,-1.2304316719746122,-1.189687723714654,-1.0424719277402494,-1.0835644590674154,-1.1861125061489983
-1.0509721243478265,-1.1343386810606337,-0.9057979856338978,-1.350815993557617,-0.9629747656314491,0.3346196225012902,-1.2304316719746122,-1.189687723714654,-1.0424719277402494,-1.0835644590674154,-1.1861125061489983
-1.0509721243478265,-1.1343386810606337,-0.9057979856338978,-1.350815993557617,-0.9629747656314491,0.3346196225012902,-1.2304316719746122,-1.189687723714654,-1.0424719277402494,-1.0835644590674154,-1.1861125061489983
-1.0509721243478265,-1.1343386810606337,-0.9057979856338978,-1.350815993557617,-0.9629747656314491,0.3346196225012902,-1.2304316719746122,-1.189687723714654,-1.0424719277402494,-1.0835644590674154,-1.1861125061489983
-1.0509721243478265,-1.1343386810606337,-0.9057979856338978,-1.350815993557617,-0.9629747656314491,0.3346196225012902,-1.2304316719746122,-1.189687723714654,-1.0424719277402494,-1.0835644590674154,-1.1861125061489983
-1.0509721243478265,-1.1343386810606337,-0.9057979856338978,-1.350815993557617,-0.9629747656314491,0.3346196225012902,-1.2304316719746122,-1.189687723714654,-1.0424719277402494,-1.0835644590674154,-1.1861125061489983
-1.0509721243478265,-1.1343386810606337,-0.9057979856338978,-1.350815993557617,-0.9629747656314491,0.3346196225012902,-1.2304316719746122,-1.189687723714654,-1.0424719277402494,-1.0835644590674154,-1.1861125061489983
-1.0509721243478265,-1.1343386810606337,-0.9057979856338978,-1.350815993557617,-0.9629747656314491,0.3346196225012902,-1.2304316719746122,-1.189687723714654,-1.0424719277402494,-1.0835644590674154,-1.1861125061489983
-1.07218340858562,-1.1454177749241543,-0.9156704749957012,-1.3650688880152355,-0.9027740254187215,0.470067933131495,-1.3015068263348926,-1.173728045670069,-1.0639334183268816,-1.0938080370535195,-1.157066407473842
-1.0958045047585485,-1.1596351171344437,-0.9629419769266458,-1.3731575265982,-0.9032559624082518,0.5476969847965318,-1.3183979816587796,-1.0519247163196361,-1.0795190600852596,-1.1635223327363184,-1.1458869821873718
-1.1211511504150864,-1.1846770981836097,-0.9690012110443152,-1.365658032016731,-0.9012442924491111,0.7272332005675876,-1.3215346650479485,-1.0529235062377063,-1.089087634115891,-1.075026772173053,-1.126671567668036
-1.074934139944542,-1.205024373099476,-0.982742491539691,-1.3384546730389395,-0.9563570757859511,0.7470687610075148,-1.316851533548396,-1.0416065963100984,-1.0949026380600375,-1.0675414483471415,-1.0377234920726957
-1.097338944895054,-1.234093844929783,-0.9762026595655395,-1.308192545572159,-0.9456498030970197,0.7646215649969741,-1.3203950467168188,-1.0384831515608925,-1.1726825277618056,-1.0567911315649183,-0.9430344078917701
-1.1153375910550494,-1.257649594114445,-0.9492123545163856,-1.2805025041916989,-0.9707862251666791,0.8767459293068202,-1.32233895319369,-1.0394995372114249,-1.162311985683525,-1.0485239912470161,-0.9246968661019401
-1.1730924901685853,-1.2943125139016836,-0.9922057637974273,-1.2582326298138224,-0.9978756161559217,0.7646200521337139,-1.3302064262500282,-1.0476711591094348,-1.141283758280251,-1.04318614014564,-0.9448927470815665
-1.1957895004884378,-1.263470180849082,-0.9442145115054161,-1.2273365729796861,-0.9397022898817952,0.7028304527272597,-1.3148357772069017,-1.0684281765926764,-1.1385338620421,-1.1048647648923284,-0.9748538340207806
-1.1985752916009673,-1.2040992726059006,-0.9912099791781926,-1.1985415082963595,-0.8935116010219278,0.5595880249792091,-1.2948574622658615,-1.0895652975198509,-1.1386836378787744,-1.1062209982973963,-0.9556092672413221
-1.1965613536998605,-1.183125372788257,-1.0205127356521533,-1.1737545937583707,-0.8650365934808981,0.4074996617349208,-1.2674400570214248,-1.100271954864936,-1.1228728911808719,-1.023206758738833,-0.9693682226199123
-1.1884217730788538,-1.1655182310698542,-1.0737997801207027,-1.162599777517232,-0.8671174575425971,0.30897086918507466,-1.2481194142264538,-1.1116582891238171,-1.0808750475186157,-1.0235113506284899,-0.9917225236283393
-1.1864858970298129,-1.1482005033433595,-1.0888396926024146,-1.1507536983911921,-0.8300441596411703,0.2618397081580729,-1.2209404083018722,-1.2389886465349695,-1.0302411470730979,-0.9180435976882275,-0.9916507928310555
-1.18765250248856,-1.0523601904096824,-1.1030183937704205,-1.1471827430207573,-0.7973680254640415,0.2152597832869446,-1.1994890408159105,-1.238290206208354,-0.9870482445240407,-0.9827277022831588,-0.9217922908273701
-1.259116302372333,-1.0502675508649328,-1.1133359179899063,-1.1585233698858433,-0.7758546111887645,0.23313480374013737,-1.1900460027197075,-1.2507089257779493,-0.9502624442403285,-0.9550205949214693,-0.9255283623839065
