T,case,bw_mult,share_2plus,share_1,mean_count,share_with_barrier,barrier_ratio_med,log10_dwell_med,true_log10_dwell_med,local_sd_over_series_sd
100,bistable 2SD,1.0,0.35,0.65,1.3666666666666667,0.35,0.04559415950446247,1.7487963883036952,0.7102510147457078,0.9619335676801475
100,bistable 2SD,1.4,0.03333333333333333,0.9666666666666667,1.0333333333333334,0.03333333333333333,0.05097531391961077,1.7487117163646815,0.721246399047171,1.107518766699156
100,bistable 2SD,1.8,0.0,1.0,1.0,0.0,,,0.721246399047171,1.2632858702753627
100,bistable 3SD,1.0,0.48333333333333334,0.5166666666666667,1.5,0.48333333333333334,0.03772582615225939,1.687794761933186,0.7695510786217261,0.8848750059763051
100,bistable 3SD,1.4,0.1,0.9,1.1,0.1,0.005906401155778521,2.2151806208542197,0.7573166222047144,1.0881008819748046
100,bistable 3SD,1.8,0.0,1.0,1.0,0.0,,,0.7695510786217261,1.2031656329357407
100,bistable 4SD,1.0,0.43333333333333335,0.5666666666666667,1.45,0.43333333333333335,0.1037793196146925,1.6467145584827598,0.7958800173440752,0.8247022046382984
100,bistable 4SD,1.4,0.18333333333333332,0.8166666666666667,1.1833333333333333,0.18333333333333332,0.05157320993571597,1.8611721301150994,0.8239087409443188,1.022170590886564
100,bistable 4SD,1.8,0.03333333333333333,0.9666666666666667,1.0333333333333334,0.03333333333333333,0.018925627060778546,2.446270363579347,0.853871964321762,1.2261572755519876
100,bistable 6SD,1.0,0.6333333333333333,0.36666666666666664,1.6333333333333333,0.65,0.4528703927219837,1.5887123908406835,0.9037854146535949,0.6216397159777778
100,bistable 6SD,1.4,0.38333333333333336,0.6166666666666667,1.3833333333333333,0.38333333333333336,0.15760335713850668,1.789272094923171,0.9208187539523752,0.8130674396456615
100,bistable 6SD,1.8,0.16666666666666666,0.8333333333333334,1.1666666666666667,0.16666666666666666,0.022840729761219404,2.198436355118789,0.9037854146535949,0.9944104402925911
100,"deep well 6SD (k=1, new)",1.0,0.1,0.9,1.1,0.1,0.231705248966668,1.6477203935868812,0.35654732351381263,0.7747499965776001
100,"deep well 6SD (k=1, new)",1.4,0.016666666666666666,0.9833333333333333,1.0166666666666666,0.016666666666666666,0.2553336181989734,1.8516319917162634,0.3420410512001946,0.9223568868296599
100,"deep well 6SD (k=1, new)",1.8,0.0,1.0,1.0,0.016666666666666666,0.4490509494037481,1.932388033559632,0.35654732351381263,1.0380893455851763
100,monostable,1.0,0.23333333333333334,0.7666666666666667,1.2333333333333334,0.23333333333333334,0.08571184483367929,1.8430054406820977,0.8239087409443188,0.8337473990046437
100,monostable,1.4,0.06666666666666667,0.9333333333333333,1.0666666666666667,0.11666666666666667,0.08767332360510456,2.140707037250823,0.8239087409443188,1.0661643206137659
100,monostable,1.8,0.016666666666666666,0.9833333333333333,1.0166666666666666,0.016666666666666666,0.19252472629690082,2.1320229092130276,0.8239087409443188,1.2190044812362273
100,"polarized (bimodal, monostable)",1.0,0.0,1.0,1.0,0.0,,,0.8239087409443188,0.7458241836249094
100,"polarized (bimodal, monostable)",1.4,0.0,1.0,1.0,0.0,,,0.8239087409443188,0.8187187618361378
100,"polarized (bimodal, monostable)",1.8,0.0,1.0,1.0,0.0,,,0.8239087409443188,0.9396673585560624
120,bistable 2SD,1.0,0.26666666666666666,0.7333333333333333,1.2666666666666666,0.26666666666666666,0.021055450471251232,1.6868352221576242,0.7174534100300319,0.9809375145592133
120,bistable 2SD,1.4,0.1,0.9,1.1,0.11666666666666667,0.03284488660675056,1.9695692052436078,0.7676858167054788,1.109728885751524
120,bistable 2SD,1.8,0.0,1.0,1.0,0.0,,,0.7469777304071047,1.3355754247911211
