unit,n,lo,hi,n_levels,mode,modal_position,modal_share,share_at_lo,share_at_hi,skew,share_below_mode,share_above_mode,levels_1pct,eff_levels,comp_modal_pos,comp_skew,comp_end,quiet_modal_pos,quiet_skew,quiet_end,end_use
mood_relaxed,1476,1.0,7.0,7,4.0,0.5,0.483739837398374,0.0013550135501355014,0.0013550135501355014,-0.4678584350573102,0.16531165311653118,0.3509485094850949,4,3.0289565763074506,0.5,0.011463235304763585,0.0013550135501355014,0.0,3.2760440414595093,0.9207317073170732,0.0027100271002710027
mood_down,1474,-3.0,3.0,7,0.0,0.5,0.6682496607869742,0.0020352781546811396,0.016960651289009497,1.0032293334347921,0.10651289009497965,0.22523744911804613,5,2.754022997246025,0.6666666666666666,-0.0928048553408001,0.15671641791044774,0.0,2.9163219901057365,1.0,0.018995929443690638
mood_irritat,1473,1.0,7.0,7,2.0,0.16666666666666666,0.3761031907671419,0.2973523421588595,0.0013577732518669382,0.9907596959194518,0.2973523421588595,0.32654446707399865,5,4.235582358788073,0.5,0.03400809799104082,0.01493550577053632,0.0,3.1777181337001372,1.0,0.2987101154107264
mood_satisfi,1473,1.0,6.0,6,5.0,0.8,0.4046164290563476,0.005431093007467753,0.05091649694501019,-0.4481036422646879,0.5444670739986422,0.05091649694501019,5,3.8676248272412863,0.6,0.08356590952302863,0.01697216564833673,0.0,4.05000363638128,1.0,0.05634758995247794
mood_lonely,1474,-3.0,3.0,7,0.0,0.5,0.835820895522388,0.0020352781546811396,0.0027137042062415195,0.49873178430405996,0.09023066485753053,0.07394843962008141,4,1.8630623487082554,0.5,-0.08811093084160296,0.175033921302578,1.0,-2.3734735506036593,0.8466757123473542,0.004748982360922659
mood_anxious,1473,-3.0,1.0,5,0.0,0.75,0.9090291921249152,0.0013577732518669382,0.0027155465037338763,-3.336700100808963,0.08825526137135098,0.0027155465037338763,2,1.388152750532384,0.5,-0.1720944767541408,0.07671418873048201,1.0,-3.892440547216143,0.9293957909029192,0.004073319755600814
mood_enthus,1473,1.0,6.0,6,4.0,0.6,0.3971486761710794,0.004073319755600814,0.02240325865580448,0.17448812507594305,0.38085539714867617,0.2219959266802444,5,3.485560184476248,0.4,-0.07019814552530042,0.014256619144602852,0.0,4.214368129772625,1.0,0.026476578411405292
mood_cheerf,1473,1.0,6.0,6,4.0,0.6,0.40054310930074677,0.004073319755600814,0.00746775288526816,-0.46998470126823516,0.24507807196198234,0.3543788187372709,4,3.3489760539231757,0.4,-0.0013050269373443932,0.013577732518669382,0.0,4.018965874420159,1.0,0.011541072640868975
mood_guilty,1473,-3.0,2.0,6,0.0,0.6,0.8167006109979633,0.0006788866259334691,0.005431093007467753,-0.004630874214877825,0.08689748811948404,0.09640190088255261,3,1.900925490830413,0.0,0.02848710249942887,1.0,1.0,-2.2460597385088237,0.8316361167684996,0.006109979633401222
mood_strong,1473,1.0,6.0,6,4.0,0.6,0.37202987101154106,0.002036659877800407,0.013577732518669382,-0.15683647157255623,0.3061778682959946,0.32179226069246436,5,3.462103852149691,0.6,-0.06718616532281277,0.028513238289205704,0.0,4.434815958832362,1.0,0.015614392396469789
