beta_amp,ramped,levels,n,ar1_med,bc_med,attractor_med,attractor_p95,mean_med,ratio_A_over_M,share_above_gate
0.0,False,0,30,0.29804884428375766,0.13220491967515036,0.13156157282221592,0.25083374471985176,0.0756933245385925,1.7380868606866224,0.1
0.0,False,7,29,0.20688148198378487,0.20853413494948994,0.029743477547018955,1.01015094198122,0.1413032778389477,0.21049389654583586,0.10344827586206896
0.0,True,0,30,0.30433990687622914,0.13119065447970946,0.14092230673259998,0.2165261944607868,0.0827945348767832,1.7020725696729126,0.03333333333333333
0.0,True,7,29,0.21006157790932356,0.22726212575989285,0.03483970308410083,2.641185685431762,0.12604429778622983,0.2764084032043139,0.2413793103448276
0.3,False,0,30,0.2982519026149191,0.23450749613257915,0.139114238488296,0.2074506963106302,0.08286319976717238,1.6788422228344648,0.03333333333333333
0.3,False,7,30,0.21012589868361126,0.2465645416864084,0.03346495114441288,1.453332296120661,0.12772091695763593,0.2620162142706269,0.13333333333333333
0.3,True,0,30,0.30002255902491254,0.1015474898008969,0.16673933583692246,0.2818975394788248,0.08167005598821755,2.0416214219441424,0.2
0.3,True,7,30,0.198310548602307,0.21013241359379176,0.04329662026990438,2.3963768129163925,0.1291868879295892,0.33514717293524676,0.16666666666666666
0.6,False,0,30,0.28427405782430737,0.40997238107384204,0.13284796033963078,0.2757940021080135,0.07848653892718406,1.6926209532934122,0.13333333333333333
0.6,False,7,29,0.20998839460225993,0.37639303696470505,0.051441046947273625,2.1571880926204274,0.11807009251198829,0.43568227866045367,0.2413793103448276
0.6,True,0,30,0.2974549794956135,0.118625754792045,0.19147328103503053,0.41150446291331993,0.08200905993002541,2.3347820496711695,0.43333333333333335
0.6,True,7,29,0.22825129491527374,0.24553158993734475,0.047487460420181676,2.117260420685932,0.1833961217695046,0.25893383110829754,0.1724137931034483
0.9,False,0,30,0.2632897756569623,0.5056136752426197,0.16252293185440003,0.34698284311948857,0.0885814663156661,1.834728398774056,0.3
0.9,False,7,29,0.2207262260565906,0.46278377753536204,0.04336100691371987,0.38293876216953604,0.12407511547252555,0.3494738388804601,0.06896551724137931
0.9,True,0,30,0.2823024510115876,0.10610196238743563,0.23844791833412138,0.3905303972237265,0.09224147545222036,2.5850401586175153,0.5666666666666667
0.9,True,7,30,0.19811430537143843,0.21306982493555404,0.05643278643503319,2.3444370081830805,0.2189518250041581,0.2577406533787123,0.26666666666666666
