dataset,person,unit,bw_mult,bw_tag,within_day,n,n_pairs,n_attractors,separation_sd,n_barriers,barrier_ratio,barrier_dist_sd,local_sd_sd,run_length_obs,q1_primary,q1_sensitivity,kramers_log10_dwell_INVALID,attractors
kossakowski,1,mood_guilty,1.0,sensitivity,False,1473,1472,1,,0,,,0.5209542942006082,8.138121546961326,no-second-attractor,no-second-attractor,,-0.457
kossakowski,1,mood_guilty,1.0,sensitivity,True,1473,1235,1,,0,,,0.368751609040179,8.138121546961326,no-second-attractor,no-second-attractor,,-0.480
kossakowski,1,mood_strong,1.4,primary,False,1473,1472,1,,0,,,0.9838659182446519,3.363013698630137,no-second-attractor,no-second-attractor,,3.719
kossakowski,1,mood_strong,1.4,primary,True,1473,1235,1,,0,,,0.8936504216563238,3.363013698630137,no-second-attractor,no-second-attractor,,3.709
kossakowski,1,mood_strong,1.0,sensitivity,False,1473,1472,1,,0,,,0.6836563409569822,3.363013698630137,no-second-attractor,no-second-attractor,,3.613
kossakowski,1,mood_strong,1.0,sensitivity,True,1473,1235,1,,0,,,0.6201735919466693,3.363013698630137,no-second-attractor,no-second-attractor,,3.606
kossakowski,1,_composite,1.4,primary,False,1476,1475,1,,0,,,0.9206837593981567,2.3653846153846154,no-second-attractor,no-second-attractor,,0.012
kossakowski,1,_composite,1.4,primary,True,1476,1238,1,,0,,,0.9820785372201293,2.3653846153846154,no-second-attractor,no-second-attractor,,0.012
kossakowski,1,_composite,1.0,sensitivity,False,1476,1475,1,,0,,,0.895180657466713,2.3653846153846154,no-second-attractor,no-second-attractor,,0.014
kossakowski,1,_composite,1.0,sensitivity,True,1476,1238,1,,0,,,0.9611130311178813,2.3653846153846154,no-second-attractor,no-second-attractor,,0.016
