unit,ratio_attractor,ratio_mean,corr_pos_mean,ratio_diff
mood_lonely,1.4901969793041518,0.27046408754003354,0.9534215762976901,1.2197328917641184
mood_guilty,1.3188705844635116,0.24727228633040346,0.8663299594895173,1.071598298133108
mood_down,0.4938070724309094,0.21751675607758922,0.7455704476300663,0.27629031635332013
mood_irritat,0.32181003745095044,0.2642000940913136,0.9486883078581408,0.05760994335963682
_composite,0.18129527231180492,0.23442157817397044,0.960717787493541,-0.05312630586216552
mood_cheerf,0.17201993361333565,0.06122124674057605,-0.22178076257462165,0.1107986868727596
mood_strong,0.15292650882358777,0.07084868600245466,0.4203941967407183,0.08207782282113311
mood_relaxed,0.11005296950546886,0.11543668411566123,0.361061576676716,-0.005383714610192367
mood_satisfi,0.09214210195941488,0.11533536146128175,0.9525308091914012,-0.02319325950186686
mood_enthus,0.08177256771297203,0.04724449809322853,0.7395988489438211,0.0345280696197435
mood_anxious,0.025521206357300298,0.2550293868147958,0.43202720820827595,-0.22950818045749552
