unit,n,ar1,n_windows,zeta_med,zeta_sd,zeta_first,zeta_last,zeta_trend_r,psi_med,ou_med,coupling_med
mood_relaxed,1476,0.2645264263778895,25,-1.074934139944542,0.06585356213726912,-1.0509721243478265,-1.259116302372333,-0.9067021410905398,1.3477691681094153,1.413577354989775,1.2937420724526474
mood_down,1474,0.43644803351908057,25,-1.1343386810606337,0.05660894414532638,-1.1343386810606337,-1.0502675508649328,-0.1896101661534295,1.566397688267548,1.4694863330328198,1.3078370921214018
mood_irritat,1473,0.25843822315671056,25,-0.9442145115054161,0.06771074702747505,-0.9057979856338978,-1.1133359179899063,-0.8825087025125705,1.1532552835940668,1.2363840497647627,1.2300462814242499
mood_satisfi,1473,0.35040950546165395,25,-1.350815993557617,0.08032382062525238,-1.350815993557617,-1.1585233698858433,0.8536610806340275,1.4745384081022892,1.4682919775763437,1.3504642152235315
mood_lonely,1474,0.32425883924075904,25,-0.9629747656314491,0.05723891384300739,-0.9629747656314491,-0.7758546111887645,0.7296820399553197,1.130282832980302,1.3519343117197922,1.1914077577133408
mood_anxious,1473,0.22302390257891133,25,0.3346196225012902,0.19356984838734706,0.3346196225012902,0.23313480374013737,0.21687820001196872,1.2344871184564317,1.2836593561566487,1.326749773469746
mood_enthus,1473,0.33570538784583154,25,-1.2304316719746122,0.04415007537207266,-1.2304316719746122,-1.1900460027197075,-0.22891714280290154,1.445227973245291,1.455669915321522,1.3634666681380527
mood_cheerf,1473,0.34544657841123366,25,-1.189687723714654,0.07023710953135262,-1.189687723714654,-1.2507089257779493,0.25805443767925706,1.3821820187665008,1.4920041765644054,1.4361299243333576
mood_guilty,1473,0.2587024667402575,25,-1.0424719277402494,0.05241519538151616,-1.0424719277402494,-0.9502624442403285,-0.20046747602680517,1.3105018603602159,1.2974523949205738,1.2336093158855919
mood_strong,1473,0.35490393421089744,25,-1.0835644590674154,0.04995569407348416,-1.0835644590674154,-0.9550205949214693,0.6126081383424934,1.3093369135984987,1.4074136055745268,1.2859955913833687
_composite,1476,0.15877870854763762,25,-1.1458869821873718,0.10997480829201361,-1.1861125061489983,-0.9255283623839065,0.8903392013410629,1.1984688994557833,1.2579655010942092,1.0501398300975548
