sep_sd,k,lam,true_b,n_sub,ar1_med,true_runlen_med,bc_med,share_2plus,share_1,share_1_at_barrier
2.0,0.25,0.06124999999999999,0.0153125,20,0.8474352108713539,6.9624190641479204,0.47016284328754426,0.0,1.0,0.3333333333333333
2.0,1.0,0.24499999999999997,0.06125,20,0.7547958613338422,5.426470588235294,0.48897960497020154,0.0,1.0,0.5
2.0,4.0,0.9799999999999999,0.245,40,0.6488395280544068,4.5838951419229765,0.5234631109555437,0.0,1.0,0.6333333333333333
2.0,16.0,3.9199999999999995,0.98,157,0.6570497158476474,5.328519855595668,0.6362262441766997,0.03333333333333333,0.9666666666666667,0.4827586206896552
2.0,49.0,12.004999999999999,3.0012499999999998,400,0.8482754434145225,16.043478260869566,0.8137674757357709,0.8333333333333334,0.16666666666666666,0.0
2.0,150.0,36.74999999999999,9.1875,400,0.4936648723678135,1107.0,0.648495200038426,0.5,0.5,0.0
3.0,0.25,0.13781249999999995,0.07751953124999995,20,0.8705504478751038,7.893048128342246,0.4981992294934914,0.13333333333333333,0.8666666666666667,0.23076923076923078
3.0,1.0,0.5512499999999998,0.3100781249999998,23,0.8095750026939237,7.062362637362638,0.5381935446649955,0.3333333333333333,0.6666666666666666,0.1
3.0,4.0,2.204999999999999,1.2403124999999993,89,0.8287300886527976,10.322183098591548,0.6681936883065619,0.9333333333333333,0.06666666666666667,0.0
3.0,16.0,8.819999999999997,4.961249999999997,353,0.9532686561580284,123.0,0.8902838755819136,1.0,0.0,
3.0,49.0,27.01124999999999,15.19382812499999,400,-0.006424346999758156,1476.0,0.3375325063192149,0.0,1.0,0.0
3.0,150.0,82.68749999999997,46.51171874999997,400,0.015702385372984386,1476.0,0.33910679810246663,0.0,1.0,0.0
